,time,parking,store,address,phone
165,마리오아울렛점,매일: 10:30~21:00 ,2시간 무료주차 (유인정산소 이용시),서울시 금천구 디지털로9길 23 마리오-2관 패션타워3층  ,02-857-5501  
166,null,,,,
167,null,,,,
168,삼성금융플라자점,월-금 07:00~21:00  | 주말 09:00~17:00 ,"유료주차 1시간 4,000원",서울 강남구 테헤란로 419 삼성금융플라자1층  ,02-554-7591
169,현대자동차남양연구소점,평일 : 06:30 ~ 18:30 / 주말(공휴일) : 휴무,<콘센트 이용가능> 연구소내 개인차량 주차 불가능,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 설계1동1F  ,031-357-8103 
170,null,,,,
171,이태원점,"월~목 09:00~21:00 | 금 09:00 ~22: 00 | 토,일, 공휴일 10:00~22:00 ",주차불가,서울시 용산구 이태원로 189   ,02-794-3361
172,뉴가로수길점,"평일 07:00~21:00ㅣ토요일 07:30~21:00ㅣ일,공휴일 07:30~21:00",주차불가,서울시 강남구 가로수길 83  ,02-544-7105
173,서초뱅뱅사거리점,"월~금 07:00~22:00 | 토,일/공휴일 08:00~21:00",,"서울시 서초구 강남대로 267 2,3층  ",02-523-8841 
174,현대자동차성내점,"평일 07:00~22:00 | 주말,공휴일 07:00~22:00",주차불가( 인근 공영주차장이용 ),"서울시 강동구 천호대로 1096 1,2F  ",02-485-3361 
175,null,,,,
176,수원인계점,월-금 08:00~22:00 | 주말/공휴일 08:00~22:00,"1시간 무료주차(30분 초과당 1,500원 부과)",경기도 수원시 팔달구 권광로 195 학산빌딩1층   ,031-233-5631
177,판교아브뉴프랑점,평일 07:00-22:00 l주말/공휴일 07:00-22:00,지하주차장 이용(07:00~22:00) 1시간 무료주차 (1만원 이상~3만원미만) 2시간 무료주차 (3만원 이상~5만원미만) 3시간 무료주차 (5만원 이상 구매시),경기도 성남시 분당구 동판교로177번길 25  ,031-8016-8131
178,일산원마운트점,월-금 09:00~22:00 | 토요일 10:00~22:00 | 일/공휴일 10:00~22:00,[일반주차] 30분 무료주차(기본) 10분 초과당 300원부과 / 스노우파크/워터파크 이용 고객 종일 무료,경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층  ,031-961-6520
179,null,,,,
180,null,,,,
181,남양연구소C1식당점,월-목요일 7:00~18:30 | 금요일 7:00~18:00 | 토-일/공휴일 휴점,연구소내 개인차량 주차 불가능,경기 화성시 장덕동 현대연구소로150 현대자동차남양연구소 C1구역식당1F  ,031-357-8172
182,null,,,,
183,null,,,,
184,null,,,,
185,null,,,,
186,null,,,,
187,여의도교보증권카페점,평일 07:00~20:00  | 주말/공휴일 10:00~18:00,"교보증권빌딩 주차장 이용 / 평일:30분 무료주차(10분 초과당 1,000원 부과), 주말/공휴일 : 2시간 무료, 2시간 이후 10분 당 1,000원",서울시 영등포구 의사당대로 97 교보증권빌딩 2층  ,02-785-8845
188,null,,,,
189,null,,,,
190,null,,,,
191,압구정현대아파트점,"평일 07:30~21:00ㅣ토요일 08:00~21:00ㅣ일,공휴일 08:00~21:00","<콘센트 이용가능> * 건물 1층에 주차 공간 있습니다. (2대 가능) * 매장 옆 공영주차장 안내해 드리고 있습니다.( 토,일. 공휴일 무료) 2시간 이내 10분당 400원 /2시간 이후 10분 800원",서울시 강남구 압구정로29길65 지하1층  ,02-518-3350
192,null,,,,
193,역삼역4번출구점,월-금 07:00~22:00 | 토요일 09:00~18:00 | 일/공휴일 09:00~18:00,주차불가,서울시 강남구 테헤란로143 고운빌딩1층  ,02-508-1137
194,시청역7번출구점,평일 07:00~21:30 l 주말 12:00~20:00 ,주차불가,서울시 중구 세종대로84 2층  ,02-754-8852
195,부평문화의거리점,월-목 08:00~22:00 | 금 08:00 ~ 23:00/토09:00~23:00 / 일 09:00 ~ 22:00,주차불가,"인천광역시 부평구 시장로29 1,2층  ",032-507-9901
196,null,,,,
197,강남대로센터점,월-금 07:00~22:00ㅣ토/일/공휴일 08:00~22:00,주차불가,서울시 강남구 강남대로442 흥국화재빌딩 2층   ,02-565-3345
198,구로G-ValleyMall,월-금 07:00~22:00 | 주말/공휴일 09:00~20:00 I ,1만원 구매 시 1시간 무료,서울시 구로구 디지털로300 지밸리비즈플라자 2층  ,02-6344-3966
