,제목,분류
17,['일반배송으로 주문하신 상품은 매장픽업으로 변경할 수 없습니다.변경을 원하시는 경우 해당 주문을 취소한 후 다시 주문해 주시기 바랍니다.\u200b\xa0'],배송
18,['매장픽업 주문 시 상품 준비완료 알림톡은 픽업일자 이전에 발송됩니다.단  매장 상황 및 재고 여부에 따라 발송이 지연될 수 있으며 픽업일자에도 문자가 오지 않는 경우고객센터 대표전화 혹은 1:1문의로 문의해 주시기 바랍니다.\xa0- SHOWINDOW 고객센터: 1661-2585 (평일 10:00~17:30 / 토 일 공휴일 휴무\u200b)  (점심시간: 12:00~13:00)\u200b\xa0'],배송
19,"[""SHOWINDOW 매장픽업 서비스에 대해 안내 드리겠습니다.매장픽업 서비스는 온라인몰에서 주문한 상품을 원하는 매장에서 직접 받아볼 수 있는 서비스입니다.SHOWINDOW 매장픽업 서비스는 자사 브랜드 상품에 한하여 이용하실 수 있으며 자사 브랜드 상품 중SIEG 브랜드 상품은 매장픽업 서비스 이용이 불가 하오니 이용에 참고 바랍니다.\xa0매장픽업은 상품 상세페이지에서 바로 주문이 가능한 상품에 한하여 다음 절차에 따라 이용할 수 있습니다.\xa01. 주문 가능한 사이즈 선택 후 '매장픽업' 버튼을 클릭합니다.\xa02. 원하는 픽업매장을 선택한 후 방문예정일과 방문시간을 선택합니다. 방문예정일은 주문 다음날부터 5일 이내로 설정할 수 있습니다.\xa03. 상품을 장바구니에 추가한 후 결제합니다. 반드시 1시간 이내에 결제가 완료되어야 하며  일반배송 상품과는 함께 결제할 수 없습니다.\xa0 \xa0 장바구니에 매장수령 탭을 클릭하여 일반배송 상품과는 별도로 결제하시면 됩니다.\xa04. 픽업매장에서 해당 상품이 준비되면 발송되는 알림톡을 확인한 후 해당 매장에서 상품을 픽업합니다.\xa0 \xa0 방문예정일 다음날까지 픽업하지 않는 경우 상품이 취소될 수 있으니 빠른 방문 부탁 드립니다.\xa0매장픽업 서비스 이용 시 상품을 바로 입어보고 확인한 뒤 교환 및 반품시에는 꼭 온라인몰에서 접수 후 이용가능 하오니 유의 바랍니다.매장픽업 서비스에 대해 추가로 궁금하신 사항은 고객센터 대표전화 또는 1:1 문의로 상세내용을 알려주시면 확인 후 안내해드리겠습니다.\xa0- SHOWINDOW 고객센터: 1661-2585 (평일 10:00~17:30 / 토 일 공휴일 휴무)  (점심시간: 12:00~13:00)\u200b""]",배송
20,['배송 완료 상태이나 상품을 수령하지 못하신 경우는 아래 내용을 참고 부탁드립니다.\xa01. 배송지 부재 상태로 인근 및 제 3위탁 장소에 보관되었을 수 있습니다.\xa0 경비실  소화전  인근 편의점(점포)  옆 집 등 확인 부탁드립니다.\xa02. 운송장 오기입 혹은 택배사 실수로 인해 완료 후 실제 미배송될 수 있습니다.\xa0실제 수령을 하지 못하신 상태라면 배송 상태에서 조회되는 운송장을 바탕으로 해당 택배사를 통한 확인이 가장 빠르고 정확합니다.배송 일정에 대해 상세한 안내가 필요하시면 고객센터 대표번호 또는 1:1문의로 문의 부탁드립니다.\u200b\xa0- SHOWINDOW 고객센터: 1661-2585 (평일 10:00~17:30 / 토 일 공휴일 휴무\u200b)  (점심시간: 12:00~13:00)\u200b\xa0'],배송
21,['주문하신 제품은 실시간으로 바코드  전산작업을 통해서 배송 처리가 이루어지며 작업 후 배송중 단계로 확인 가능합니다.주문 상태가 배송중으로 되어 있어도 실제 지정된 택배사에서 픽업 후\xa0배송 정보를 입력하는 시점부터 추적이 가능하기 때문에 저녁 8~9시 정도 조회 가능합니다.만약 알림톡을 받으신 이후 2일째까지 운송장 흐름이 없는 경우 고객센터대표번호 또는 1:1문의로 문의 바랍니다.\u200b- SHOWINDOW 고객센터: 1661-2585 (평일 10:00~17:30 / 토 일 공휴일 휴무\u200b)  (점심시간: 12:00~13:00)\u200b\xa0'],배송
22,매장픽업으로 주문 후 품절 안내를 받았는데 어떻게 해야 하나요?,배송
23,일반배송 상품을 매장픽업으로 변경할 수 있나요?,배송
24,매장픽업 주문 완료했는데 상품 준비완료 문자가 오지 않습니다.,배송
25,매장픽업 서비스는 어떠게 이용할 수 있나요?,배송
26,배송완료 상태인데 상품을 받지 못했으면 어떻게 해야하나요?,배송
27,송장번호가 배송 조회되지 않아요.,배송
28,해외 배송도 가능한가요?,배송
29,회원에게 주어지는 혜택은 무엇인가요?,회원
30,휴면고객으로 변경되는 기준은 무엇인가요?,회원
31,탈퇴 후 재가입할 수 있나요?,회원
32,아이디/비밀번호가 기억나지 않습니다.,회원
33,임시 비밀번호를 발급 요청하였는데 계속 오지 않습니다.,회원
34,회원 탈퇴는 어떻게 하나요?,회원
35,회원 정보 변경은 어떻게 하나요?,회원
36,회원 아이디와 비밀번호를 변경할 수 있나요?,회원
37,"[""SHOWINDOW 회원이 되시면 '마이페이지 > 등급별혜택'에 회원등급 혜택이 있습니다.LV1 신규가입 혜택부터 LV6까지 등급이 있으며 각 등급별로 혜택이 제공됩니다.\u200b\xa0\xa0SHOWINDOW 신규회원으로 가입하시는 고객님들을 위해 매월 다양한 할인 및 적립 혜택을 제공하고 있습니다.이 밖에도 추가 혜택은 아래와 같습니다.\xa0- 구매 금액에 따른 구매 포인트 적립\xa0- 무이자 할부 (카드사별 조건 참조)\xa0- 월별 다양한 브랜드/상품 특가 및 쿠폰 할인\xa0- 자사 브랜드 매장 PICK-UP 서비스 이용가능 (대상상품  상품 상세페이지 내에서 매장픽업 버튼 확인 가능/입점상품 제외)\xa0보다 자세한 사항은 각 온라인몰 (이벤트 카테고리)에서 확인하실 수 있으며본 내용은 회사의 사정에 따라 사전 고지 없이 변경 될 수 있습니다.\xa0감사합니다.\xa0""]",회원
38,['「정보통신망 이용촉진 및 정보보호 등에 관한 법률」 제29조 제2항에 따라 신원의 SHOWINDOW를 1년 동안 사용하지 않은 고객은휴면고객으로 자동 전환됩니다.휴면고객 전환은 로그인 기록을 기준으로 이루어지며  전환 즉시 회원 개인정보는 파기되며 회원자격이 상실됩니다.SHOWINDOW를 다시 이용하기 위해서는 로그인 후 안내되는 절차에 따라 휴면해제 절차를 진행해 주시기 바랍니다.\u200b\xa0\xa0- SHOWINDOW 고객센터: 1661-2585 (평일 9:00~18:00 / 토 일 공휴일 휴무)  (점심시간: 12:00~13:00)\u200b\xa0'],회원
39,['일반적으로 회원 탈퇴 후 30일이 지나면 재가입이 가능하며  강제로 탈퇴된 회원의 경우에는 심사 후 재가입 가능 여부가 결정됩니다.회원 탈퇴 후 재가입시 신규 회원가입에 따른 혜택은 받을 수 없으며  기존에 가입한 아이디는 다시 사용할 수 없습니다.\xa0또한  회원 탈퇴 전 보유하고 있던 포인트 쑈마일  쿠폰  회원정보  거래정보 등은 복원되거나 이관되지 않습니다.이 점 유의해주시기 바랍니다.\xa0- SHOWINDOW 고객센터: 1661-2585 (평일 10:00~17:30\u200b / 토 일 공휴일 휴무)  (점심시간: 12:00~13:00)\u200b\xa0'],회원
40,['아이디/비밀번호 찾으시는 방법은 다음과 같습니다.\xa0-아이디 찾기-1. SHOWINDOW 상단 로그인 버튼 클릭2. 회원 로그인란의 아이디/비밀번호 찾기 클릭3. 아이디 찾기 탭 클릭하고 휴대폰 본인인증 후 아이디 찾기 가능4. 아이디 찾고 로그인\xa0-비밀번호 찾기-\u200b1. SHOWINDOW 상단 로그인 버튼 클릭2. 회원 로그인란의 아이디/비밀번호 찾기 클릭3. 비밀번호 찾기 탭 클릭하고 아이디 입력 후 휴대폰 본인인증4. 새로운 비밀번호 입력 후 변경한뒤 로그인* 위 방법으로도 해결되지 않을 경우  고객센터 대표전화 혹은 1:1문의로 문의하시면 본인 확인 후 임시 비밀번호를 발급해드립니다.*간편 로그인 회원은 비밀번호 찾기가 불가능 합니다.\xa0- SHOWINDOW 고객센터: 1661-2585 (평일 10:00~17:30 / 토 일 공휴일 휴무)  (점심시간: 12:00~13:00)\xa0\xa0'],회원
41,['발송된 임시 비밀번호가 스팸 처리되어 확인되지 않을 수 있습니다.카카오톡 채널 및 문자 수신차단 여부를 확인 부탁드리며  위 방법으로도 확인이 어려울 경우\xa0고객센터 대표전화 혹은 1:1문의로 문의하시면 본인 확인 후 임시 비밀번호를 발급 해드리겠습니다.\xa0- SHOWINDOW 고객센터: 1661-2585 (평일 10:00~17:30\u200b / 토 일 공휴일 휴무)  (점심시간: 12:00~13:00)\u200b\xa0'],회원
42,['회원 탈퇴 방법의 경우 다음과 같습니다.\xa01. SHOWINDOW 상단 로그인 버튼 클릭하여 로그인2. 마이페이지 > My Shopping > 회원탈퇴 클릭3. 휴대폰 본인인증 후 소멸예정 포인트 쑈마일 및 쿠폰 확인한 뒤 탈퇴 사유 입력하고 탈퇴\xa0* 처리 기간이 일주일 정도 소요될 수 있으며  해당 기간 동안 홍보성 메일  알림톡(SMS/예약발송) 등이 발송될 수 있습니다.* 탈퇴 시 보유하고 있는 포인트  쑈마일 및 쿠폰은 자동 소멸 됩니다.* 회원 탈퇴 후 SHOWINDOW에 입력하신 게시물/댓글 및 오오티디는 삭제되지 않으며  회원정보 삭제로 인해 작성자 본인을 확인할 수\xa0\xa0 없으므로 게시물 편집 및 삭제 처리가 원천적으로 불가능 합니다. 게시물 삭제를 원하시는 경우에는 먼저 해당 게시물을 삭제하신 후\xa0 탈퇴를 신청하시기 바랍니다.\xa0* 탈퇴 후 30일 이내 재가입이 불가합니다.\u200b\xa0\xa0- SHOWINDOW 고객센터: 1661-2585 (평일 10:00~17:30\u200b / 토 일 공휴일 휴무)  (점심시간: 12:00~13:00)\u200b'],회원
43,"[""회원정보는 로그인 후 '마이페이지 > 내정보수정' 페이지에서 휴대폰 본인인증 후 변경할 수 있습니다.변경이 가능한 항목은 프로필사진  닉네임  비밀번호  이메일  주소  이벤트정보 수신항목) 이 있습니다.회원정보가 정상적으로 수정되지 않을 경우  고객센터 대표전화 또는 1:1문의로 문의주시면 확인 후 처리 해드리겠습니다.\xa0-SHOWINDOW 고객센터 1661-2585 (평일 10:00~17:30\u200b/ 토 일 공휴일 휴무)-[1:1문의 하러가기]""]",회원
44,"[""SHOWINDOW 회원이 되시면 '마이페이지 > 등급별혜택'에 회원등급 혜택이 있습니다.LV1 신규가입 혜택부터 LV6까지 등급이 있으며 각 등급별로 혜택이 제공됩니다.\u200b\xa0\xa0SHOWINDOW 신규회원으로 가입하시는 고객님들을 위해 매월 다양한 할인 및 적립 혜택을 제공하고 있습니다.이 밖에도 추가 혜택은 아래와 같습니다.\xa0- 구매 금액에 따른 구매 포인트 적립\xa0- 무이자 할부 (카드사별 조건 참조)\xa0- 월별 다양한 브랜드/상품 특가 및 쿠폰 할인\xa0- 자사 브랜드 매장 PICK-UP 서비스 이용가능 (대상상품  상품 상세페이지 내에서 매장픽업 버튼 확인 가능/입점상품 제외)\xa0보다 자세한 사항은 각 온라인몰 (이벤트 카테고리)에서 확인하실 수 있으며본 내용은 회사의 사정에 따라 사전 고지 없이 변경 될 수 있습니다.\xa0감사합니다.\xa0""]",회원
45,['「정보통신망 이용촉진 및 정보보호 등에 관한 법률」 제29조 제2항에 따라 신원의 SHOWINDOW를 1년 동안 사용하지 않은 고객은휴면고객으로 자동 전환됩니다.휴면고객 전환은 로그인 기록을 기준으로 이루어지며  전환 즉시 회원 개인정보는 파기되며 회원자격이 상실됩니다.SHOWINDOW를 다시 이용하기 위해서는 로그인 후 안내되는 절차에 따라 휴면해제 절차를 진행해 주시기 바랍니다.\u200b\xa0\xa0- SHOWINDOW 고객센터: 1661-2585 (평일 9:00~18:00 / 토 일 공휴일 휴무)  (점심시간: 12:00~13:00)\u200b\xa0'],회원
46,['일반적으로 회원 탈퇴 후 30일이 지나면 재가입이 가능하며  강제로 탈퇴된 회원의 경우에는 심사 후 재가입 가능 여부가 결정됩니다.회원 탈퇴 후 재가입시 신규 회원가입에 따른 혜택은 받을 수 없으며  기존에 가입한 아이디는 다시 사용할 수 없습니다.\xa0또한  회원 탈퇴 전 보유하고 있던 포인트 쑈마일  쿠폰  회원정보  거래정보 등은 복원되거나 이관되지 않습니다.이 점 유의해주시기 바랍니다.\xa0- SHOWINDOW 고객센터: 1661-2585 (평일 10:00~17:30\u200b / 토 일 공휴일 휴무)  (점심시간: 12:00~13:00)\u200b\xa0'],회원
47,['아이디/비밀번호 찾으시는 방법은 다음과 같습니다.\xa0-아이디 찾기-1. SHOWINDOW 상단 로그인 버튼 클릭2. 회원 로그인란의 아이디/비밀번호 찾기 클릭3. 아이디 찾기 탭 클릭하고 휴대폰 본인인증 후 아이디 찾기 가능4. 아이디 찾고 로그인\xa0-비밀번호 찾기-\u200b1. SHOWINDOW 상단 로그인 버튼 클릭2. 회원 로그인란의 아이디/비밀번호 찾기 클릭3. 비밀번호 찾기 탭 클릭하고 아이디 입력 후 휴대폰 본인인증4. 새로운 비밀번호 입력 후 변경한뒤 로그인* 위 방법으로도 해결되지 않을 경우  고객센터 대표전화 혹은 1:1문의로 문의하시면 본인 확인 후 임시 비밀번호를 발급해드립니다.*간편 로그인 회원은 비밀번호 찾기가 불가능 합니다.\xa0- SHOWINDOW 고객센터: 1661-2585 (평일 10:00~17:30 / 토 일 공휴일 휴무)  (점심시간: 12:00~13:00)\xa0\xa0'],회원
48,['발송된 임시 비밀번호가 스팸 처리되어 확인되지 않을 수 있습니다.카카오톡 채널 및 문자 수신차단 여부를 확인 부탁드리며  위 방법으로도 확인이 어려울 경우\xa0고객센터 대표전화 혹은 1:1문의로 문의하시면 본인 확인 후 임시 비밀번호를 발급 해드리겠습니다.\xa0- SHOWINDOW 고객센터: 1661-2585 (평일 10:00~17:30\u200b / 토 일 공휴일 휴무)  (점심시간: 12:00~13:00)\u200b\xa0'],회원
49,['회원 탈퇴 방법의 경우 다음과 같습니다.\xa01. SHOWINDOW 상단 로그인 버튼 클릭하여 로그인2. 마이페이지 > My Shopping > 회원탈퇴 클릭3. 휴대폰 본인인증 후 소멸예정 포인트 쑈마일 및 쿠폰 확인한 뒤 탈퇴 사유 입력하고 탈퇴\xa0* 처리 기간이 일주일 정도 소요될 수 있으며  해당 기간 동안 홍보성 메일  알림톡(SMS/예약발송) 등이 발송될 수 있습니다.* 탈퇴 시 보유하고 있는 포인트  쑈마일 및 쿠폰은 자동 소멸 됩니다.* 회원 탈퇴 후 SHOWINDOW에 입력하신 게시물/댓글 및 오오티디는 삭제되지 않으며  회원정보 삭제로 인해 작성자 본인을 확인할 수\xa0\xa0 없으므로 게시물 편집 및 삭제 처리가 원천적으로 불가능 합니다. 게시물 삭제를 원하시는 경우에는 먼저 해당 게시물을 삭제하신 후\xa0 탈퇴를 신청하시기 바랍니다.\xa0* 탈퇴 후 30일 이내 재가입이 불가합니다.\u200b\xa0\xa0- SHOWINDOW 고객센터: 1661-2585 (평일 10:00~17:30\u200b / 토 일 공휴일 휴무)  (점심시간: 12:00~13:00)\u200b'],회원
50,"[""회원정보는 로그인 후 '마이페이지 > 내정보수정' 페이지에서 휴대폰 본인인증 후 변경할 수 있습니다.변경이 가능한 항목은 프로필사진  닉네임  비밀번호  이메일  주소  이벤트정보 수신항목) 이 있습니다.회원정보가 정상적으로 수정되지 않을 경우  고객센터 대표전화 또는 1:1문의로 문의주시면 확인 후 처리 해드리겠습니다.\xa0-SHOWINDOW 고객센터 1661-2585 (평일 10:00~17:30\u200b/ 토 일 공휴일 휴무)-[1:1문의 하러가기]""]",회원
51,주문 취소/반품시 쿠폰은 재발행 되나요?,회원
52,쿠폰 사용이 되지 않습니다.,회원
53,'상품쿠폰'   '중복쿠폰'  '프로모션 코드'가 뭔가요? ,회원
54,상품리뷰 작성으로 적립되는 쑈마일은 어떻게 되나요?,회원
55,통합포인트 사용처가 궁금합니다.,회원
56,통합포인트/쑈마일 적립 시점과 유효기간은 어떻게 되나요?,회원
57,통합포인트와 쑈마일은 뭔가요?,회원
58,['고객님의 변심으로 인한 취소/반품일 경우  쿠폰의 재발행이 불가능합니다.단  상품 불량  오배송  품절  배송지연으로 인한 취소인 경우 재발행 해드립니다.\xa0- SHOWINDOW 고객센터: 1661-2585 (평일 10:00~17:30 / 토 일 공휴일 휴무\u200b)  (점심시간: 12:00~13:00)\u200b'],회원
59,['마이페이지 > My Shopping > 쿠폰 내역에서 쿠폰 사용혜택/기간 및 조건을 확인할 수 있습니다.\xa0* 자세한 사항은 고객센터 혹은 1:1문의를 통해 문의를 남겨주시기 바랍니다.- SHOWINDOW 고객센터: 1661-2585 (평일 10:00~17:30 / 토 일 공휴일 휴무\u200b)  (점심시간: 12:00~13:00)\u200b\xa0'],회원
60,"[""쿠폰은 '상품쿠폰'과 '중복쿠폰'으로 나뉘어 집니다.\xa0- 상품쿠폰: 상품 1개에 사용 가능한 쿠폰- 중복쿠폰: 상품 1개에 추가로 사용 가능한 쿠폰\xa0프로모션 할인에서 '할인 코드'는 관리자가 지정한 코드만을 입력하여장바구니 쿠폰처럼 전체 구매금액에서 지정한 금액을 할인 받는 할인 쿠폰입니다.\xa0""]",회원
61,['포토 리뷰 작성 시 1 000 쑈마일  텍스트 리뷰 작성 시 500 쑈마일이 지급됩니다. (중복 지급 불가)\xa0단  반품하는 경우 작성하신 구매의사를 철회하였으므로 작성하신 상품리뷰는 비전시 처리되며  지급되었던 포인트는 회수됩니다.\u200b\xa0\xa0[상품리뷰 작성 시 유의사항]-최초로 작성한 포토 리뷰 혹은 텍스트 리뷰에 대하여 자동 지급되며  중복 지급은 불가합니다.-한 번 작성 완료한 리뷰를 텍스트 수정 또는 포토 추가하여도 추가 쑈마일은 지급되지 않습니다.\xa0-쑈마일은 리뷰 작성 후 다음날 바로 지급됩니다.-리뷰 작성으로 쑈마일이 적립된 리뷰는 수정은 가능하지만  삭제는 불가합니다.\xa0 \u200b-리뷰 또는 등록 포토의 도용 적발 시  지급되었던 포인트는 회수됩니다.-구매 상품과 상관없는 리뷰 또는 포토 등록 적발 시  지급 되었던 포인트는 회수됩니다.\xa0\xa0쑈마일이 정상적으로 지급/회수되지 않았을 경우  고객센터 대표전화 혹은 1:1문의 게시판을 통해 문의 바랍니다.SHOWINDOW 고객센터: 1661-2585 (평일 10:00~17:30 / 토 일 공휴일 휴무)  (점심시간: 12:00~13:00)\u200b \u200b\xa0'],회원
62,"[""SHOWINDOW 통합포인트는 신원 자사 브랜드의 온/오프라인에서 사용 가능하며 자세한 적립 및 사용 브랜드는 '마이페이지 > 등급별 혜택'에서 확인 가능합니다.\xa0* 포인트 적립은 온라인(브랜드 상품 할인율별)  오프라인(브랜드/유통망 상품 할인율별) 차등 적립됩니다.* 온라인(입점 브랜드)의 경우 할인율에 상관없이 1%만 적립되며 SHOWINDOW 온라인몰에서만 사용 가능합니다.""]",회원
63,['-통합포인트-상품 구매로 인한 통합포인트 적립은 구매확정시 자동 적립되며 사용 기한은 지급일로부터 2년 후 자동 소멸 됩니다.\xa0단  교환이나 반품을 신청하신 경우 포인트 적립은 자동 취소되며교환의 경우 상품 구매확정시 자동 재적립 됩니다.\xa0-쑈마일-쑈마일은 지급되는 기준에 따라 정해진 사용기간이 상이합니다.정해진 사용기간에 따라 미사용시 자동 소멸됩니다.\xa0- 상품리뷰 및 회원가입시 지급되는 쑈마일의 사용기한은 지급일로부터 1년 후 자동 소멸됩니다.\xa0적립 및 사용한 포인트 내역을 확인하기 위한 방법은 다음과 같습니다.1. SHOWINDOW 상단 로그인 버튼 클릭하여 로그인2. 마이페이지 > My Shopping > 포인트 or 할인쿠폰3. 적립 및 사용내역 조회 가능.\xa0* 이벤트를 통해 받는 쑈마일은 유효기간이 모두 상이하니  해당 이벤트 페이지의 안내 및 알림톡(SMS)의 유효기간을 확인해주세요.\xa0\xa0'],회원
64,주문한 상품의 재고가 없어 취소되었어요.,상품관련
65,반품을 하기로 한 제품을 아직 택배가 가져가지 않았어요.,상품관련
66,반송 방법과 주의 사항에 대해 알려 주세요.,상품관련
67,주문 제작한 제품도 반품할 수 있나요?,상품관련
68,온라인 주문상품을 오프라인 매장에서 교환/반품할 수 있나요?,상품관련
69,아예 다른 상품으로는 교환이 불가능 한가요?,상품관련
70,교환 반품 접수를 취소하고 싶은데 홈페이지에서 철회 가능한가요?,상품관련
71,교환 반품 접수를 하지 않고 물건을 보냈는데 처리가 어떻게 되나요?,상품관련
72,['SHOWINDOW에서 구매하신 상품은 매장에서 동시에 판매되는 상품이므로 주문 이후에 품절이 발생할 수 있습니다.최대한 받아보실 수 있도록 재고 확보하여 발송해 드리고 있으나 부득이하게 품절 취소 시 양해 말씀드립니다.\xa0추가로 궁금하신 사항은 고객센터 대표전화 또는 1:1 문의로 상세 내용을 알려주시면 확인 후 처리해드리겠습니다.\xa0- SHOWINDOW 고객센터: 1661-2585 (평일 10:00~17:30 / 토 일 공휴일 휴무)  (점심시간: 12:00~13:00)\u200b\u200b\xa0'],상품관련
