,제목,분류
118,사진과 제품의 실제 색상이 다른 것 같아요.,상품관련
119,무신사 스토어의 상품들은 모두 정품인가요?,상품관련
120,정식 수입상품과 병행수입상품은 무슨 차이인가요?,상품관련
121,무신사 스페셜숍 상품들은 어떤 상품들인가요?,상품관련
122,상품 문의는 어떻게 작성하나요?,상품관련
123,무신사는 디자인 도용 / 라벨 교체 상품에 어떻게 대응하나요?,상품관련
124,작성 후 수정  삭제할 수 있나요?,상품관련
125,반품 주소지가 어떻게 되나요?,상품관련
126,복합결제가 가능한가요?,주문
127,인터넷 안전 결제(ISP) 가 무엇입니까?,주문
128,안심클릭은 무엇인가요?,주문
129,I혜택I 회원 등급에 따라 어떤 혜택을 받을 수 있나요?,주문
130,가상계좌 주문이 제한 되었어요.,주문
131,휴대폰 소액결제에 대하여 알려주세요.,주문
132,주문 결제 시 현금영수증 요청을 하지 않았습니다. 따로 신청  가능한가요?,주문
133,[TOSS] 현금영수증 발급은 어떻게 하나요?,주문
134,[TOSS] 등록한 계좌에 잔액이 있는데 이체가 안돼요.,주문
135,[TOSS] 토스 결제는 어떻게 진행되나요?,주문
136,[TOSS] 결제 한도가 어떻게 되나요?,주문
137,가상계좌 입금 시 주문자와 입금자명이 동일해야 하나요?,주문
138,가상계좌는 어떻게 입금해야 하나요?,주문
139,가상계좌로 주문을 나눠서 했는데 한번에 입금할 수 있나요?,주문
140,주소 검색이 안돼요.,주문
141,주소지 건물명이 변경되었어요.,주문
142,주문 시 선택한 사은품을 확인할 수 있나요?,주문
143,해외 카드로 결제 가능한가요?,주문
144,카드 및 현금 영수증  거래 명세서는 어디에서 조회할 수 있나요?,주문
145,교환(환불) 신청 시 꼭 반품 배송비를 결제해야 하나요?,주문
146,[카카오페이] 현금영수증 발행 번호를 변경하고 싶어요.,주문
147,[카카오페이] 현금영수증 발행 여부를 알고 싶어요.,주문
148,[카카오페이] 현금영수증 발행 신청은 어떻게 하나요?,주문
149,결제 방법을 변경하고 싶어요.,주문
150,[무신사페이] 무신사페이가 무엇인가요?,주문
151,[무신사페이] 무신사페이는 어디에서 등록하나요?,주문
152,[무신사페이] 카드 입력 정보 중 CVC는 무엇을 적어야 하나요?,주문
153,[무신사페이] 카드를 여러 개 등록했을 때 우선 사용 카드를 설정할 수 있나요?,주문
154,[무신사페이] 카드는 몇 개까지 등록할 수 있나요?,주문
155,[무신사페이] 결제 비밀번호를 잊어버렸어요.,주문
156,[무신사페이] 무신사페이 이용 해지는 어떻게 하나요?,주문
157,[무신사페이] 카드 등록 시 지원되지 않는 결제 수단이라고 뜹니다.,주문
158,[무신사페이] 등록한 카드를 분실했어요. 무신사페이를 계속 사용할 수 있나요?,주문
159,결제 증빙 서류(거래명세서  카드전표 등)는 어떻게 확인할 수 있나요?,주문
160,주문 후 입금이 많이 늦었어요.,주문
161,결제한 주문을 취소하고 싶어요.,주문
162,주문이 자동 취소 되어있어요.,주문
163,동일상품을 반복적으로 주문 후 취소하는 경우 스토어 이용이 제한 될 수 있습니다.,주문
164,I배송 일반I 언제 배송 되나요?,배송
165,I기타I 주문한 상품이 일부만 도착했어요.,배송
166,I주문제작 배송I 언제 배송 되나요?,배송
167,I기타I 택배사 연락처를 알고 싶어요.,배송
168,I기타I 배송완료로 나오는데 아직 상품을 받지 못했어요.,배송
169,I기타I 배송 사고(파손 상품&구성품 누락  분실)는 어떻게 처리 해야 하나요?,배송
170,I배송 일반I 배송 조회는 어떻게 하나요?,배송
171,I부티크 배송I 모두 새벽 배송 가능한가요?,배송
172,I예약 배송I 언제 배송 되나요?,배송
173,I부티크 배송I 새벽 배송 시 유의해야 할 사항이 있나요?,배송
174,I무탠 픽업I 어떻게 받을 수 있나요?,배송
175,I배송 일반I 고객 보상 지원제도 가 어떤건가요?,배송
176,I배송 일반I 자주 사용하는 배송지와 날짜를 등록할 수 있나요?,배송
177,I기타I 송장 흐름 확인이 안되고 있어요.,배송
178,복합결제가 가능한가요?,주문
179,인터넷 안전 결제(ISP) 가 무엇입니까?,주문
180,안심클릭은 무엇인가요?,주문
181,I혜택I 회원 등급에 따라 어떤 혜택을 받을 수 있나요?,주문
182,가상계좌 주문이 제한 되었어요.,주문
183,휴대폰 소액결제에 대하여 알려주세요.,주문
184,주문 결제 시 현금영수증 요청을 하지 않았습니다. 따로 신청  가능한가요?,주문
185,[TOSS] 현금영수증 발급은 어떻게 하나요?,주문
186,[TOSS] 등록한 계좌에 잔액이 있는데 이체가 안돼요.,주문
187,[TOSS] 토스 결제는 어떻게 진행되나요?,주문
188,[TOSS] 결제 한도가 어떻게 되나요?,주문
189,가상계좌 입금 시 주문자와 입금자명이 동일해야 하나요?,주문
190,가상계좌는 어떻게 입금해야 하나요?,주문
191,가상계좌로 주문을 나눠서 했는데 한번에 입금할 수 있나요?,주문
192,주소 검색이 안돼요.,주문
193,주소지 건물명이 변경되었어요.,주문
194,주문 시 선택한 사은품을 확인할 수 있나요?,주문
195,해외 카드로 결제 가능한가요?,주문
196,카드 및 현금 영수증  거래 명세서는 어디에서 조회할 수 있나요?,주문
197,교환(환불) 신청 시 꼭 반품 배송비를 결제해야 하나요?,주문
198,[카카오페이] 현금영수증 발행 번호를 변경하고 싶어요.,주문
199,[카카오페이] 현금영수증 발행 여부를 알고 싶어요.,주문
200,[카카오페이] 현금영수증 발행 신청은 어떻게 하나요?,주문
201,결제 방법을 변경하고 싶어요.,주문
202,[무신사페이] 무신사페이가 무엇인가요?,주문
203,[무신사페이] 무신사페이는 어디에서 등록하나요?,주문
204,[무신사페이] 카드 입력 정보 중 CVC는 무엇을 적어야 하나요?,주문
205,[무신사페이] 카드를 여러 개 등록했을 때 우선 사용 카드를 설정할 수 있나요?,주문
206,[무신사페이] 카드는 몇 개까지 등록할 수 있나요?,주문
207,[무신사페이] 결제 비밀번호를 잊어버렸어요.,주문
208,[무신사페이] 무신사페이 이용 해지는 어떻게 하나요?,주문
209,[무신사페이] 카드 등록 시 지원되지 않는 결제 수단이라고 뜹니다.,주문
210,[무신사페이] 등록한 카드를 분실했어요. 무신사페이를 계속 사용할 수 있나요?,주문
211,결제 증빙 서류(거래명세서  카드전표 등)는 어떻게 확인할 수 있나요?,주문
212,구매한 상품을 교환/반품 하고 싶습니다  어떻게 접수 하나요?,상품관련
213,반품 택배비는 얼마인가요?? ,상품관련
214,교환/반품시 상품을 어디로 보내나요?,상품관련
215,교환 택배비는 얼마인가요?? ,상품관련
216,반품이 불가능한 경우는요?,상품관련
217,교환상품 받는데 얼마나 걸릴까요?,상품관련
218,맞교환 가능하나요?,상품관련
219,구매시 받은 사은품은 어떻게 되나요?,상품관련
220,품절된 제품은 재입고가 안되나요?,상품관련
221,동일상품을 여러색상을 구매하려는데 어떻게 해야 할까요? ,상품관련
222,발볼 넓힘이나 굽조절 가능한가요?,상품관련
223,주문 가능해서 구매했는데 품절이라고 하네요. 이유가 뭔가요?,상품관련
224,결제방법 알려주세요!,주문
225,입금을 했지만  미결제로 확인됩니다.,주문
226,주문취소했는데 카드는 언제 취소되나요?,주문
227,결제방법 알려주세요!,주문
228,입금을 했지만  미결제로 확인됩니다.,주문
229,주문취소했는데 카드는 언제 취소되나요?,주문
230,주소지 변경은 어떻게 하나요?,배송
231,배송 준비중인데 취소가능한가요?,배송
232,배송 지연이 왜 되는지?,배송
233,배송 지연은 몇일이 걸리는 건가요?,배송
234,회원가입하면 혜택이 있나요?,회원
235,비회원도 구매할 수 있나요?,회원
236,아이디와 패스워드를 잊어버렸어요!,회원
237,주소와 전화번호등 개인정보 변경은 어떻게 해요?,회원
238,회원 탈퇴는 어떻게 하나요?,회원
