,제목,분류
19,"비회원 주문 시 주문 내역(배송 및 교환  환불 등) 조회를 위해 주문번호를 알고 있어야 합니다. 

※ 주문 완료 시 주문번호는 알림톡을 통해 발송됩니다. 
※ 무신사 회원으로 주문하면 할인 및 적립금과 사은품 등의 다양한 혜택을 받을 수 있습니다.",회원
20,"탈퇴는 마이페이지 > 내 정보 관리에서 직접 신청해 주셔야 합니다. 

■ 탈퇴 경로
모바일(앱/웹) : 마이페이지 > 내 정보 관리 > 오른쪽 위 톱니바퀴 > 회원 정보 > 회원 탈퇴 
PC(웹) : 마이페이지 > 회원정보 변경 > 회원 탈퇴 

※ 회원 탈퇴 시 무신사 페이도 탈퇴 되고 솔드아웃 앱에서는 무신사 아이디로 로그인이 가능하지 않습니다.
※ 탈퇴 신청일로부터 5일 내 다시 로그인 하면 탈퇴 신청이 취소됩니다.",회원
21,"탈퇴 신청일로부터 5일 이내 재로그인 시 탈퇴 신청이 취소됩니다. 

※ 탈퇴 5일 후에는 개인 정보가 삭제되어 탈퇴 취소가 가능하지 않습니다.
※ 정보가 삭제 되면 회원 가입을 다시 해주셔야 합니다. ",회원
22,"생일 쿠폰은 등록된 회원 정보의 생년월일을 기준으로 3일 전에 지급됩니다.
*지급 일자에 휴면 계정인 경우 생일 쿠폰은 지급되지 않습니다.

회원 정보 확인하기",회원
23,"인증하려는 휴대전화 번호가 다른 아이디 또는 사용자에 의해 인증이 완료되어 있는 경우 이미 존재하는 휴대전화로 확인됩니다.
해당 문구가 확인되는 경우 중복으로 추가 인증이 가능하지 않습니다. 

번거로우시겠지만 실사용자 확인을 위해 고객센터 문의해 주세요. ",회원
24,"아이디는 변경이 가능하지 않지만 비밀번호는 변경 가능합니다. 

■ 비밀번호 변경 경로 
모바일(앱/웹) : 마이페이지 > 내 정보 관리 > 오른쪽 위 톱니바퀴 
PC(웹) : 마이페이지 > 회원정보 변경

※ 탈퇴 후 재가입을 하더라도 동일한 아이디는 사용할 수 없습니다.
※ 탈퇴 시 아이디를 제외한 모든 개인 정보는 삭제 됩니다.",회원
25,고객님의 소중한 개인 정보 보호를 위해 1년간 무신사 로그인 이력이 없는 경우  휴면상태로 전환하여 별도의 장치에 안전하게 분리보관됩니다.,회원
26,"1년간 무신사 스토어 로그인이 없는 경우 휴면 회원 전환 안내 메일이 발송 됩니다. 

휴면 전환 30일 전  로그인이 11개월간 없는 경우 전환 예정 메일이 발송 됩니다.
휴면 회원 전환을 원하지 않는 경우  전환 확정 이전에 로그인해 주시면 휴면 전환이 취소됩니다.",회원
27,"로그인 화면에서  아이디 찾기/비밀번호 찾기를 통해 확인 가능합니다.
아래 3가지 방법 중 하나로 진행해 주세요.

■ 휴대전화
회원 정보에 등록된 본인의 휴대전화 번호를 인증하는 방법입니다.
※ 단  휴대전화 번호를 변경했다면 다른 방법을 이용해 주세요.

■ 이메일
회원 정보에 등록된 본인의 이메일 주소를 인증하는 방법입니다.
※ 단  이메일이 유효하지 않으면 다른 방법을 이용해 주세요.

■ 본인인증
이용 중인 통신사와 휴대전화 번호를 인증하는 방법입니다.
※ 기존에 본인인증을 완료한 회원은 본인인증으로 찾기만 가능 합니다.

※ 비밀번호 재설정을 완료한 휴면 회원은 휴면 해제 및 탈퇴 신청한 회원은 신청이 취소됩니다.
 ",회원
28,I취소/반품(환불)I 상품을 받았는데 환불하고 싶어요.,상품관련
29,I취소/반품(환불)I 교환(환불)이 어려운 경우가 있나요?,상품관련
30,I취소/반품(환불)I 상품은 보냈는데 언제 환불 되나요?,상품관련
31,I취소/반품(환불)I 주문을 취소(옵션변경)를 하고 싶어요.,상품관련
32,I취소/반품(환불)I 실제 카드 취소나 금액은 언제 입금되나요?,상품관련
33,I취소/반품(환불)I 비용은 무료인가요?,상품관련
34,I취소/반품(환불)I 무탠 픽업 주문 후 환불 될 예정이라는 안내를 받았어요.,상품관련
35,I취소/반품(환불)I 부티크 보안실 제거 했는데 교환/환불 가능한가요?,상품관련
36,I취소/반품(환불)I 반품접수는 어떻게 하나요?,상품관련
37,I취소/반품(환불)I 반송장 입력  수정은 어떻게 하나요?,상품관련
38,I취소/반품(환불)I 무탠픽업 주문건을 취소(환불/교환) 하고 싶어요.,상품관련
39,"환불은 배송 완료 후  7일 이내일 경우에만 주문/배송/픽업 조회에서 접수 가능합니다. 

■ 환불 접수 경로
모바일(앱/웹): 마이페이지 > 주문/배송/픽업 조회 > 환불 요청
PC(웹): 마이페이지 > 주문 내역 조회 > 환불 요청

1. 반품할 상품의 환불을 선택해 주세요.

2. 반품 방법을 선택해 주세요.
- 회수해 주세요 : 무신사 자동회수 서비스로 택배기사가 요청한 회수지로 평일 기준 1일 ~ 3일 이내 방문합니다. 
- 직접 발송했어요 : 상품을 받은 택배사와 같은 택배사로 반품 예약해야 합니다. 
※ 반송장 번호가 아직 없다면 반송장 정보는 다음에 등록하기를 선택해 주세요. 

3. 환불 배송비를 선결제해야 합니다.
신용카드 또는 가상계좌 결제만 가능합니다.

4. 상품은 받아본 그대로 포장해서 반품해 주셔야 합니다.
※ 받은 사은품이 있다면 같이 포장해서 반품해 주세요.",상품관련
40,"아래 사유에 해당 되는 경우 교환(환불)이 가능하지 않습니다. 

※ 신발의 경우 브랜드 박스 훼손 시 반품이 가능하지 않으니 받았던 상태 그대로 이중으로 포장해 주세요.
※ 제품에 사용 흔적  오염  세탁  케이스(포장) 손상  라벨 제거  사은품 사용 등의 경우 반품이 가능하지 않습니다. 
※ 속옷  양말 등의 제품과 같이 개봉 후 제품의 가치가 현저히 감소하는 경우 반품이 가능하지 않습니다.
※ 주문 제작 상품의 경우 회원님을 위한 제작 후 배송으로 반품이 가능하지 않습니다. 
※ 회원님의 사유로 교환 진행중인 상품이 품절된 경우  반품비가 발생될 수 있고 이를 제외한 결제 금액이 환불 처리됩니다. 

상품 포장 잘못된 예시",상품관련
41,,상품관련
42, ,상품관련
43,"환불 진행 과정은 아래 내용 참고해 주세요. 

■ 환불 진행 과정 
상품 회수 > 반품 도착 > 검수 진행 >  환불 진행

※ 상품 회수 후 반품 도착까지 평일 기준 1일 ~ 2일 소요됩니다. 
※ 검수 기간은 평일 기준 1일 ~ 3일 소요됩니다. 
※ 환불 완료되었어도 결제한 수단으로 환불까지 기간이 소요됩니다. 
※ 해외 배송 환불의 경우 평일 기준 7일 이상 소요됩니다. ",상품관련
44,"주문 후 입금 확인 단계라면 마이페이지 > 주문/배송/픽업 조회에서 주문을 취소할 수 있습니다. 
신청 즉시 주문 취소되고 사용한 적립금과 쿠폰은 유효기간이 남아 있는 경우 반환되어 재사용 가능합니다.

입금하지 않은 주문의 옵션 변경을 원하는 경우 주문 취소 후 재주문해 주세요.

※ 입금예정 상태로 재고를 보류해두는 것을 반복할 경우  안내 없이 무신사 스토어 이용이 영구 제한될 수 있습니다.
※ 가상 계좌 결제는 2일 이내 입금하지 않을 경우 주문은 자동으로 취소됩니다.
※ 출고 처리 중 부터는 주소(옵션) 변경 및 취소가 가능하지 않아 상품 받아본 후 교환 또는 환불로 신청해 주셔야 합니다.

주문/배송/픽업 조회 바로 가기",상품관련
45,"결제했던 수단으로 환불되고 각 결제 수단마다 기간이 다릅니다. 
아래 결제수단별 환불 기간을 확인해 주세요.

■ 카드
환불 완료 후 평일 기준 1일 ~ 3일 이내 취소됩니다.
해외 비자 카드의 경우 부분 취소가 가능하지 않습니다.
 
■ 가상 계좌
환불 완료 후 평일 기준 1일 ~ 3일 이내 입금됩니다.
정상 계좌 확인을 위해 인증 후 환불 신청이 가능합니다.
 
■ 휴대전화 소액결제
휴대전화 결제 수수료를 포함해 휴대전화 결제 내역이 취소됩니다.
결제월과 환불월이 다르거나 부분 취소 시 계좌로 환불됩니다.
 
■ 무신사페이  토스  페이코  카카오 페이  네이버 페이  차이 페이 등
환불 완료 후 평일 기준 1일 ~ 2일 이내 연계된 카드는 취소  계좌는 입금으로 처리 됩니다.",상품관련
46,I교환/반품I 상품을 받았는데 교환하고 싶어요.,상품관련
47,I취소/반품(환불)I 교환(환불)이 어려운 경우가 있나요?,상품관련
48,I교환/반품I 상품은 보냈는데 언제 상품 배송 되나요?,상품관련
49,I교환/반품I 같은 브랜드 다른 상품으로 교환 가능 한가요?,상품관련
50,I취소/반품(환불)I 부티크 보안실 제거 했는데 교환/환불 가능한가요?,상품관련
51,I취소/반품(환불)I 반품접수는 어떻게 하나요?,상품관련
52,I취소/반품(환불)I 반송장 입력  수정은 어떻게 하나요?,상품관련
53,I취소/반품(환불)I 비용은 무료인가요?,상품관련
54,I취소/반품(환불)I 무탠픽업 주문건을 취소(환불/교환) 하고 싶어요.,상품관련
55,"[""교환은 배송 완료 후 \xa07일 이내일 경우에만 주문/배송/픽업 조회에서 접수 가능합니다.\xa0\n\n■ 교환 접수 경로\xa0\n모바일(앱/웹): 마이페이지 > 주문/배송/픽업 조회 > 교환 요청\nPC(웹): 마이페이지 > 주문 내역 조회 > 교환 요청\n\n1. 반품할 상품의 교환을 선택 해주세요.\n\n2. 반품 방법을 선택해 주세요.\n- 회수해 주세요 : 무신사 자동회수 서비스로 택배기사가 요청한 회수지로 평일 기준 1일 ~ 3일 이내 방문합니다.\xa0\n- 직접 발송했어요 : 상품을 받은 택배사와 같은 택배사로 반품 예약해야 합니다.\xa0\n※ 반송장 번호가 아직 없다면 반송장 정보는 '다음에 등록하기'를 선택해 주세요.\xa0\n\n3. 환불 배송비를 선결제해야 합니다.\n신용카드 또는 가상 계좌 결제만 가능합니다.\n\n4. 상품은 받아본 그대로 포장해서 반품해 주셔야 합니다.\n\n※ 회원님의 사유로 교환 진행중인 상품이 품절될 경우  반품비가 발생될 수 있고 이를 제외한 결제 금액이 환불 처리됩니다.\xa0\n※ [교환처리가 어려운 경우 FAQ]를 꼭 확인해 주세요."", '아래 사유에 해당 되는 경우 교환(환불)이 가능하지 않습니다.\xa0\n\n※ 신발의 경우 브랜드 박스 훼손 시 반품이 가능하지 않으니 받았던 상태 그대로 이중으로 포장해 주세요.\n※ 제품에 사용 흔적  오염  세탁  케이스(포장) 손상  라벨 제거  사은품 사용 등의 경우 반품이 가능하지 않습니다.\xa0\n※ 속옷  양말 등의 제품과 같이 개봉 후 제품의 가치가 현저히 감소하는 경우 반품이 가능하지 않습니다.\n※ 주문 제작 상품의 경우 회원님을 위한 제작 후 배송으로 반품이 가능하지 않습니다.\xa0\n※ 회원님의 사유로 교환 진행중인 상품이 품절된 경우  반품비가 발생될 수 있고 이를 제외한 결제 금액이 환불 처리됩니다.\xa0\n\n상품 포장 잘못된 예시', '', '\xa0', '교환 진행 과정은 아래 내용 참고해 주세요.\xa0\n\n■ 교환 진행 과정\xa0\n상품 회수 > 반품 도착 > 검수 진행 > \xa0교환 상품 출고\n\n※ 상품 회수 후 반품 도착까지 평일 기준 1일 ~ 2일 소요됩니다.\xa0\n※ 검수 기간은 평일 기준 1일 ~ 3일 소요됩니다.\xa0\n※ 교환 상품 출고 까지는 평일 기준 1일 ~ 3일 소요됩니다.\xa0\n※ 해외 배송 교환의 경우 평일 기준 2주 이상 소요됩니다.\xa0', '같은 브랜드 상품이라도 품번 및 상품이 다르면 교환이 가능하지 않습니다.\n\n※ 동일한 상품명의 옵션으로만 교환 신청이 가능합니다.\xa0\n※ 품절된 옵션이거나 추가 금액이 포함된 옵션은 교환이 가능하지 않습니다.\n※ 회원님의 사유로 교환 진행중인 상품이 품절될 경우  반품비가 발생될 수 있고 이를 제외한 결제 금액이 환불 처리됩니다.\xa0\n※ 다른 상품으로 교환 희망 시 환불 후 재주문해 주세요\n※ 불량 및 오배송인 경우 교환 요청 후 1:1문의를 통해 제품을 촬영한 사진을 접수해 주세요.']",상품관련
56,"[""교환은 배송 완료 후 \xa07일 이내일 경우에만 주문/배송/픽업 조회에서 접수 가능합니다.\xa0\n\n■ 교환 접수 경로\xa0\n모바일(앱/웹): 마이페이지 > 주문/배송/픽업 조회 > 교환 요청\nPC(웹): 마이페이지 > 주문 내역 조회 > 교환 요청\n\n1. 반품할 상품의 교환을 선택 해주세요.\n\n2. 반품 방법을 선택해 주세요.\n- 회수해 주세요 : 무신사 자동회수 서비스로 택배기사가 요청한 회수지로 평일 기준 1일 ~ 3일 이내 방문합니다.\xa0\n- 직접 발송했어요 : 상품을 받은 택배사와 같은 택배사로 반품 예약해야 합니다.\xa0\n※ 반송장 번호가 아직 없다면 반송장 정보는 '다음에 등록하기'를 선택해 주세요.\xa0\n\n3. 환불 배송비를 선결제해야 합니다.\n신용카드 또는 가상 계좌 결제만 가능합니다.\n\n4. 상품은 받아본 그대로 포장해서 반품해 주셔야 합니다.\n\n※ 회원님의 사유로 교환 진행중인 상품이 품절될 경우  반품비가 발생될 수 있고 이를 제외한 결제 금액이 환불 처리됩니다.\xa0\n※ [교환처리가 어려운 경우 FAQ]를 꼭 확인해 주세요."", '아래 사유에 해당 되는 경우 교환(환불)이 가능하지 않습니다.\xa0\n\n※ 신발의 경우 브랜드 박스 훼손 시 반품이 가능하지 않으니 받았던 상태 그대로 이중으로 포장해 주세요.\n※ 제품에 사용 흔적  오염  세탁  케이스(포장) 손상  라벨 제거  사은품 사용 등의 경우 반품이 가능하지 않습니다.\xa0\n※ 속옷  양말 등의 제품과 같이 개봉 후 제품의 가치가 현저히 감소하는 경우 반품이 가능하지 않습니다.\n※ 주문 제작 상품의 경우 회원님을 위한 제작 후 배송으로 반품이 가능하지 않습니다.\xa0\n※ 회원님의 사유로 교환 진행중인 상품이 품절된 경우  반품비가 발생될 수 있고 이를 제외한 결제 금액이 환불 처리됩니다.\xa0\n\n상품 포장 잘못된 예시', '', '\xa0', '교환 진행 과정은 아래 내용 참고해 주세요.\xa0\n\n■ 교환 진행 과정\xa0\n상품 회수 > 반품 도착 > 검수 진행 > \xa0교환 상품 출고\n\n※ 상품 회수 후 반품 도착까지 평일 기준 1일 ~ 2일 소요됩니다.\xa0\n※ 검수 기간은 평일 기준 1일 ~ 3일 소요됩니다.\xa0\n※ 교환 상품 출고 까지는 평일 기준 1일 ~ 3일 소요됩니다.\xa0\n※ 해외 배송 교환의 경우 평일 기준 2주 이상 소요됩니다.\xa0', '같은 브랜드 상품이라도 품번 및 상품이 다르면 교환이 가능하지 않습니다.\n\n※ 동일한 상품명의 옵션으로만 교환 신청이 가능합니다.\xa0\n※ 품절된 옵션이거나 추가 금액이 포함된 옵션은 교환이 가능하지 않습니다.\n※ 회원님의 사유로 교환 진행중인 상품이 품절될 경우  반품비가 발생될 수 있고 이를 제외한 결제 금액이 환불 처리됩니다.\xa0\n※ 다른 상품으로 교환 희망 시 환불 후 재주문해 주세요\n※ 불량 및 오배송인 경우 교환 요청 후 1:1문의를 통해 제품을 촬영한 사진을 접수해 주세요.']",상품관련
57,"[""교환은 배송 완료 후 \xa07일 이내일 경우에만 주문/배송/픽업 조회에서 접수 가능합니다.\xa0\n\n■ 교환 접수 경로\xa0\n모바일(앱/웹): 마이페이지 > 주문/배송/픽업 조회 > 교환 요청\nPC(웹): 마이페이지 > 주문 내역 조회 > 교환 요청\n\n1. 반품할 상품의 교환을 선택 해주세요.\n\n2. 반품 방법을 선택해 주세요.\n- 회수해 주세요 : 무신사 자동회수 서비스로 택배기사가 요청한 회수지로 평일 기준 1일 ~ 3일 이내 방문합니다.\xa0\n- 직접 발송했어요 : 상품을 받은 택배사와 같은 택배사로 반품 예약해야 합니다.\xa0\n※ 반송장 번호가 아직 없다면 반송장 정보는 '다음에 등록하기'를 선택해 주세요.\xa0\n\n3. 환불 배송비를 선결제해야 합니다.\n신용카드 또는 가상 계좌 결제만 가능합니다.\n\n4. 상품은 받아본 그대로 포장해서 반품해 주셔야 합니다.\n\n※ 회원님의 사유로 교환 진행중인 상품이 품절될 경우  반품비가 발생될 수 있고 이를 제외한 결제 금액이 환불 처리됩니다.\xa0\n※ [교환처리가 어려운 경우 FAQ]를 꼭 확인해 주세요."", '아래 사유에 해당 되는 경우 교환(환불)이 가능하지 않습니다.\xa0\n\n※ 신발의 경우 브랜드 박스 훼손 시 반품이 가능하지 않으니 받았던 상태 그대로 이중으로 포장해 주세요.\n※ 제품에 사용 흔적  오염  세탁  케이스(포장) 손상  라벨 제거  사은품 사용 등의 경우 반품이 가능하지 않습니다.\xa0\n※ 속옷  양말 등의 제품과 같이 개봉 후 제품의 가치가 현저히 감소하는 경우 반품이 가능하지 않습니다.\n※ 주문 제작 상품의 경우 회원님을 위한 제작 후 배송으로 반품이 가능하지 않습니다.\xa0\n※ 회원님의 사유로 교환 진행중인 상품이 품절된 경우  반품비가 발생될 수 있고 이를 제외한 결제 금액이 환불 처리됩니다.\xa0\n\n상품 포장 잘못된 예시', '', '\xa0', '교환 진행 과정은 아래 내용 참고해 주세요.\xa0\n\n■ 교환 진행 과정\xa0\n상품 회수 > 반품 도착 > 검수 진행 > \xa0교환 상품 출고\n\n※ 상품 회수 후 반품 도착까지 평일 기준 1일 ~ 2일 소요됩니다.\xa0\n※ 검수 기간은 평일 기준 1일 ~ 3일 소요됩니다.\xa0\n※ 교환 상품 출고 까지는 평일 기준 1일 ~ 3일 소요됩니다.\xa0\n※ 해외 배송 교환의 경우 평일 기준 2주 이상 소요됩니다.\xa0', '같은 브랜드 상품이라도 품번 및 상품이 다르면 교환이 가능하지 않습니다.\n\n※ 동일한 상품명의 옵션으로만 교환 신청이 가능합니다.\xa0\n※ 품절된 옵션이거나 추가 금액이 포함된 옵션은 교환이 가능하지 않습니다.\n※ 회원님의 사유로 교환 진행중인 상품이 품절될 경우  반품비가 발생될 수 있고 이를 제외한 결제 금액이 환불 처리됩니다.\xa0\n※ 다른 상품으로 교환 희망 시 환불 후 재주문해 주세요\n※ 불량 및 오배송인 경우 교환 요청 후 1:1문의를 통해 제품을 촬영한 사진을 접수해 주세요.']",상품관련
58,"[""교환은 배송 완료 후 \xa07일 이내일 경우에만 주문/배송/픽업 조회에서 접수 가능합니다.\xa0\n\n■ 교환 접수 경로\xa0\n모바일(앱/웹): 마이페이지 > 주문/배송/픽업 조회 > 교환 요청\nPC(웹): 마이페이지 > 주문 내역 조회 > 교환 요청\n\n1. 반품할 상품의 교환을 선택 해주세요.\n\n2. 반품 방법을 선택해 주세요.\n- 회수해 주세요 : 무신사 자동회수 서비스로 택배기사가 요청한 회수지로 평일 기준 1일 ~ 3일 이내 방문합니다.\xa0\n- 직접 발송했어요 : 상품을 받은 택배사와 같은 택배사로 반품 예약해야 합니다.\xa0\n※ 반송장 번호가 아직 없다면 반송장 정보는 '다음에 등록하기'를 선택해 주세요.\xa0\n\n3. 환불 배송비를 선결제해야 합니다.\n신용카드 또는 가상 계좌 결제만 가능합니다.\n\n4. 상품은 받아본 그대로 포장해서 반품해 주셔야 합니다.\n\n※ 회원님의 사유로 교환 진행중인 상품이 품절될 경우  반품비가 발생될 수 있고 이를 제외한 결제 금액이 환불 처리됩니다.\xa0\n※ [교환처리가 어려운 경우 FAQ]를 꼭 확인해 주세요."", '아래 사유에 해당 되는 경우 교환(환불)이 가능하지 않습니다.\xa0\n\n※ 신발의 경우 브랜드 박스 훼손 시 반품이 가능하지 않으니 받았던 상태 그대로 이중으로 포장해 주세요.\n※ 제품에 사용 흔적  오염  세탁  케이스(포장) 손상  라벨 제거  사은품 사용 등의 경우 반품이 가능하지 않습니다.\xa0\n※ 속옷  양말 등의 제품과 같이 개봉 후 제품의 가치가 현저히 감소하는 경우 반품이 가능하지 않습니다.\n※ 주문 제작 상품의 경우 회원님을 위한 제작 후 배송으로 반품이 가능하지 않습니다.\xa0\n※ 회원님의 사유로 교환 진행중인 상품이 품절된 경우  반품비가 발생될 수 있고 이를 제외한 결제 금액이 환불 처리됩니다.\xa0\n\n상품 포장 잘못된 예시', '', '\xa0', '교환 진행 과정은 아래 내용 참고해 주세요.\xa0\n\n■ 교환 진행 과정\xa0\n상품 회수 > 반품 도착 > 검수 진행 > \xa0교환 상품 출고\n\n※ 상품 회수 후 반품 도착까지 평일 기준 1일 ~ 2일 소요됩니다.\xa0\n※ 검수 기간은 평일 기준 1일 ~ 3일 소요됩니다.\xa0\n※ 교환 상품 출고 까지는 평일 기준 1일 ~ 3일 소요됩니다.\xa0\n※ 해외 배송 교환의 경우 평일 기준 2주 이상 소요됩니다.\xa0', '같은 브랜드 상품이라도 품번 및 상품이 다르면 교환이 가능하지 않습니다.\n\n※ 동일한 상품명의 옵션으로만 교환 신청이 가능합니다.\xa0\n※ 품절된 옵션이거나 추가 금액이 포함된 옵션은 교환이 가능하지 않습니다.\n※ 회원님의 사유로 교환 진행중인 상품이 품절될 경우  반품비가 발생될 수 있고 이를 제외한 결제 금액이 환불 처리됩니다.\xa0\n※ 다른 상품으로 교환 희망 시 환불 후 재주문해 주세요\n※ 불량 및 오배송인 경우 교환 요청 후 1:1문의를 통해 제품을 촬영한 사진을 접수해 주세요.']",상품관련
59,"[""교환은 배송 완료 후 \xa07일 이내일 경우에만 주문/배송/픽업 조회에서 접수 가능합니다.\xa0\n\n■ 교환 접수 경로\xa0\n모바일(앱/웹): 마이페이지 > 주문/배송/픽업 조회 > 교환 요청\nPC(웹): 마이페이지 > 주문 내역 조회 > 교환 요청\n\n1. 반품할 상품의 교환을 선택 해주세요.\n\n2. 반품 방법을 선택해 주세요.\n- 회수해 주세요 : 무신사 자동회수 서비스로 택배기사가 요청한 회수지로 평일 기준 1일 ~ 3일 이내 방문합니다.\xa0\n- 직접 발송했어요 : 상품을 받은 택배사와 같은 택배사로 반품 예약해야 합니다.\xa0\n※ 반송장 번호가 아직 없다면 반송장 정보는 '다음에 등록하기'를 선택해 주세요.\xa0\n\n3. 환불 배송비를 선결제해야 합니다.\n신용카드 또는 가상 계좌 결제만 가능합니다.\n\n4. 상품은 받아본 그대로 포장해서 반품해 주셔야 합니다.\n\n※ 회원님의 사유로 교환 진행중인 상품이 품절될 경우  반품비가 발생될 수 있고 이를 제외한 결제 금액이 환불 처리됩니다.\xa0\n※ [교환처리가 어려운 경우 FAQ]를 꼭 확인해 주세요."", '아래 사유에 해당 되는 경우 교환(환불)이 가능하지 않습니다.\xa0\n\n※ 신발의 경우 브랜드 박스 훼손 시 반품이 가능하지 않으니 받았던 상태 그대로 이중으로 포장해 주세요.\n※ 제품에 사용 흔적  오염  세탁  케이스(포장) 손상  라벨 제거  사은품 사용 등의 경우 반품이 가능하지 않습니다.\xa0\n※ 속옷  양말 등의 제품과 같이 개봉 후 제품의 가치가 현저히 감소하는 경우 반품이 가능하지 않습니다.\n※ 주문 제작 상품의 경우 회원님을 위한 제작 후 배송으로 반품이 가능하지 않습니다.\xa0\n※ 회원님의 사유로 교환 진행중인 상품이 품절된 경우  반품비가 발생될 수 있고 이를 제외한 결제 금액이 환불 처리됩니다.\xa0\n\n상품 포장 잘못된 예시', '', '\xa0', '교환 진행 과정은 아래 내용 참고해 주세요.\xa0\n\n■ 교환 진행 과정\xa0\n상품 회수 > 반품 도착 > 검수 진행 > \xa0교환 상품 출고\n\n※ 상품 회수 후 반품 도착까지 평일 기준 1일 ~ 2일 소요됩니다.\xa0\n※ 검수 기간은 평일 기준 1일 ~ 3일 소요됩니다.\xa0\n※ 교환 상품 출고 까지는 평일 기준 1일 ~ 3일 소요됩니다.\xa0\n※ 해외 배송 교환의 경우 평일 기준 2주 이상 소요됩니다.\xa0', '같은 브랜드 상품이라도 품번 및 상품이 다르면 교환이 가능하지 않습니다.\n\n※ 동일한 상품명의 옵션으로만 교환 신청이 가능합니다.\xa0\n※ 품절된 옵션이거나 추가 금액이 포함된 옵션은 교환이 가능하지 않습니다.\n※ 회원님의 사유로 교환 진행중인 상품이 품절될 경우  반품비가 발생될 수 있고 이를 제외한 결제 금액이 환불 처리됩니다.\xa0\n※ 다른 상품으로 교환 희망 시 환불 후 재주문해 주세요\n※ 불량 및 오배송인 경우 교환 요청 후 1:1문의를 통해 제품을 촬영한 사진을 접수해 주세요.']",상품관련
